From\To,Water,Bare/Degraded,ModerateVeg,DenseVeg/Mangrove
Water,15.06,1.98,2.59,3.69
Bare/Degraded,0.59,32.40,55.93,25.77
ModerateVeg,2.20,41.98,247.44,245.92
DenseVeg/Mangrove,0.44,4.16,45.35,123.30
