From\To,Water,Bare/Degraded,ModerateVeg,DenseVeg/Mangrove
Water,16.38,2.85,3.44,2.23
Bare/Degraded,0.85,46.33,84.55,39.27
ModerateVeg,0.85,26.22,179.57,173.28
DenseVeg/Mangrove,0.20,5.09,83.61,183.80
